scenario_name,target_airspeed_mps,trim_altitude_m,altitude_step_m,airspeed_step_mps,heading_step_deg,sim_end_time_s,final_altitude_command_m,final_airspeed_command_mps,final_heading_command_deg,final_x_m,final_y_m,final_altitude_m,final_airspeed_mps,final_heading_deg,final_roll_deg,final_pitch_deg,final_altitude_error_m,final_airspeed_error_mps,final_heading_error_deg,final_roll_error_deg,final_pitch_error_deg,max_abs_altitude_error_after_command_m,max_abs_airspeed_error_after_command_mps,max_abs_heading_error_after_command_deg,max_abs_roll_error_after_command_deg,max_abs_pitch_error_after_command_deg,altitude_settling_time_s,airspeed_settling_time_s,heading_settling_time_s,max_abs_roll_deg,max_abs_pitch_deg,max_abs_heading_deg,max_abs_alpha_deg,max_abs_beta_deg,max_abs_p_deg_s,max_abs_q_deg_s,max_abs_r_deg_s,max_abs_elevator_deg,max_abs_aileron_deg,max_abs_rudder_deg,max_throttle,min_throttle,gain_set,base_scenario,score
aggressive_longitudinal_heading_step,25.0,100.0,0.0,0.0,20.0,60.0,100.0,25.0,20.0,1433.6778530295824,404.9033921692389,99.99894978931775,24.999757896396847,19.995743449829394,0.0018530808280728256,5.067463280511178,0.001050210682251418,0.000242103603152799,0.0042565501706025985,-0.00036328826836191615,7.150071117484921e-05,0.1291572589800012,0.026739102513165136,19.999832716932392,6.999454296557169,0.10107698628746214,0.0016672224074687492,0.0016672224074687492,16.027009003000998,5.417876350146653,5.096493508126587,19.995743449829394,5.094730670670117,0.2062445862606422,5.291110192383336,0.19949920964925807,2.138500748336589,6.556983644994351,5.448626699781267,0.16890785877398773,0.13731181396179926,0.13500467176421316,aggressive_longitudinal,heading_step,43.33417307983479
final_tuned_heading_step,25.0,100.0,0.0,0.0,20.0,60.0,100.0,25.0,20.0,1433.6818454731795,404.90106862805834,99.99788114399514,24.999658180618695,19.995743376967702,0.0018531228654854936,5.067723658035431,0.0021188560048557292,0.000341819381304731,0.004256623032301352,-0.00036330480418002043,0.0001188518614640024,0.13953269660919432,0.02655121099852309,19.999832749830524,6.999454403708649,0.0995313917970236,0.0016672224074687492,0.0016672224074687492,16.027009003000998,5.4178539277257665,5.09422677358711,19.995743376967702,5.093837118766748,0.20624420866050863,5.291110224045632,0.19659309732198746,2.1385002421587362,6.556238459935888,5.4486742029457504,0.16890782597507345,0.13735364349225443,0.13475137260267966,final_tuned,heading_step,43.342187517037736
lateral_tuned_heading_step,25.0,100.0,0.0,0.0,20.0,60.0,100.0,25.0,20.0,1433.6884343093047,404.8972629429534,99.99471360495376,24.999459804910796,19.99574326553342,0.0018531882825876022,5.0683280940910755,0.005286395046240955,0.0005401950892043317,0.004256734466571394,-0.0003633312192876143,0.00023974663867945537,0.1586379328610832,0.026765864533093264,19.999832828340022,6.99945465926036,0.10226236878353696,0.0016672224074687492,0.0016672224074687492,16.047015671890627,5.417797504129335,5.0920736884012,19.99574326553342,5.092497501204373,0.20624376787089396,5.2911104417586765,0.1931212726524739,2.138499090180419,6.5551364948034365,5.448788185440757,0.16890775225436155,0.1374026780668822,0.1343337856195905,lateral_tuned,heading_step,43.36551310589562
original_baseline_altitude_step,25.0,100.0,20.0,0.0,0.0,60.0,120.0,25.0,0.0,1483.5157601745439,0.0,119.227547452749,24.955925978558096,0.0,0.0,5.202701321528762,0.7724525472510066,0.04407402144190442,0.0,0.0,0.01925602648669308,19.99999945600149,0.8216014627061554,0.0,0.0,4.010606552798127,50.69856618872957,14.00633544514838,0.0016672224074687492,0.0,8.47290251222027,0.0,6.511704777353305,0.0,0.0,6.507790501834908,0.0,10.499697918000553,0.0,0.0,0.23533488895230753,0.13674271341550004,original_baseline,altitude_step,44.62783284275358
aggressive_longitudinal_airspeed_step,25.0,100.0,0.0,3.0,0.0,60.0,100.0,28.0,0.0,1628.0301570714219,0.0,105.79749874920269,27.641019190468807,0.0,0.0,3.3244161672275663,-5.797498749202688,0.35898080953119305,0.0,0.0,-0.9147404476162564,5.797498749202688,2.998804214008615,0.0,0.0,0.9147404476162564,,22.12904301433811,0.0016672224074687492,0.0,5.232360222510819,0.0,5.067053488488841,0.0,0.0,0.16860950506875944,0.0,6.530111496790264,0.0,0.0,0.3316649873381289,0.13674271341130867,aggressive_longitudinal,airspeed_step,47.12657370865783
lateral_tuned_altitude_step,25.0,100.0,20.0,0.0,0.0,60.0,120.0,25.0,0.0,1477.6611264279927,0.0,119.65913746761849,24.96520851840337,0.0,0.0,5.149227835392433,0.3408625323815073,0.03479148159663126,0.0,0.0,0.01547548721038799,19.99999922356244,1.2866766706115662,0.0,0.0,5.729437991489359,40.575191730576854,18.80793597865955,0.0016672224074687492,0.0,9.796982152369235,0.0,6.997987666781462,0.0,0.0,8.670715654968015,0.0,12.192640284706004,0.0,0.0,0.2525436137826098,0.13674271341686034,lateral_tuned,altitude_step,48.69120111273725
final_tuned_airspeed_step,25.0,100.0,0.0,3.0,0.0,60.0,100.0,28.0,0.0,1630.1610127863808,0.0,107.6200996995465,27.681281089013694,0.0,0.0,3.3043329393019145,-7.6200996995465005,0.31871891098630556,0.0,0.0,-1.0751766288410896,7.6200996995465005,2.998599129653133,0.0,0.0,1.0751766288410896,,21.148716238746246,0.0016672224074687492,0.0,5.3299546460114335,0.0,5.067053517617894,0.0,0.0,0.16486274018387495,0.0,6.530111299032189,0.0,0.0,0.36163764815155386,0.13674271341573702,final_tuned,airspeed_step,48.74904270048134
lateral_tuned_airspeed_step,25.0,100.0,0.0,3.0,0.0,60.0,100.0,28.0,0.0,1632.0038664002714,0.0,110.95535621755994,27.72299952370779,0.0,0.0,3.2911731306276457,-10.955356217559938,0.2770004762922085,0.0,0.0,-1.362598102165783,10.955356217559938,2.998298994450071,0.0,0.0,1.362598102165783,,21.06868956318773,0.0016672224074687492,0.0,5.524762399287404,0.0,5.0670534276658294,0.0,0.0,0.24963790587601067,0.0,6.530111256826717,0.0,0.0,0.40658962292807527,0.13674271341686034,lateral_tuned,airspeed_step,52.025677578926675
final_tuned_altitude_step,25.0,100.0,20.0,0.0,0.0,60.0,120.0,25.0,0.0,1472.9138780828166,0.0,119.8509689318349,24.97598213902095,0.0,0.0,5.114192004611429,0.14903106816510103,0.024017860979050454,0.0,0.0,0.008363928437597467,19.99999873947941,1.7473654844237387,0.0,0.0,7.4482239491496465,33.61287095698566,20.48849616538846,0.0016672224074687492,0.0,11.226351853235885,0.0,7.652600917397211,0.0,0.0,12.076775674425845,0.0,15.704665452943763,0.0,0.0,0.2677951247593493,0.13674271341573702,final_tuned,altitude_step,53.323754435108285
original_baseline_airspeed_step,25.0,100.0,0.0,3.0,0.0,60.0,100.0,28.0,0.0,1635.9222102398667,0.0,115.73949198577225,27.773312968801257,0.0,0.0,3.296519167260892,-15.739491985772247,0.22668703119874323,0.0,0.0,-1.3857883857826454,15.739491985772247,2.997767104333814,0.0,0.0,1.3857883857826454,,19.26808936312104,0.0016672224074687492,0.0,5.683748478593988,0.0,5.067053408889644,0.0,0.0,0.33138371850861,0.0,6.530111245886918,0.0,0.0,0.4964747659476266,0.13674271341550004,original_baseline,airspeed_step,56.34166906857392
aggressive_longitudinal_altitude_step,25.0,100.0,20.0,0.0,0.0,60.0,120.0,25.0,0.0,1468.6006440333015,0.0,119.92033552207461,24.98165141710242,0.0,0.0,5.098144325618993,0.079664477925391,0.018348582897580457,0.0,0.0,0.0054245813837235065,19.99999820251783,2.184622904322403,0.0,0.0,9.167000459825402,29.551517172390795,21.388796265421806,0.0016672224074687492,0.0,12.608038896279407,0.0,8.236986364779513,0.0,0.0,15.148840294555814,0.0,19.590145016368968,0.0,0.0,0.2787432022085251,0.13674271341130867,aggressive_longitudinal,altitude_step,58.105391395239494
original_baseline_heading_step,25.0,100.0,0.0,0.0,20.0,60.0,100.0,25.0,20.0,1425.0135171184904,439.78687146369407,99.98097967335018,24.99891378981969,19.99999866857455,1.126991886584544e-06,5.070394276910523,0.019020326649823005,0.0010862101803112978,1.3314254553148546e-06,-6.185152233266022e-08,0.0004733687412710719,0.39453216442910843,0.07106700855199222,19.99927585178665,15.997319193508696,0.5530290547993377,0.0016672224074687492,0.0016672224074687492,7.744248082694231,12.322082708228796,5.2368733032884,19.99999866857455,5.299349171109117,2.121216331323253,33.771083267048205,1.1566897745402198,18.74413069505993,6.84159841401194,25.0,4.574487051760808,0.1383674864694688,0.12821467240132983,original_baseline,heading_step,63.045606965267446
lateral_tuned_altitude_heading_step,25.0,100.0,20.0,0.0,20.0,70.0,120.0,25.0,20.0,1646.0142180978673,488.08417468697303,119.83594156467244,24.983244439583462,19.999306404782466,0.00030216488584440787,5.106608650413993,0.16405843532756137,0.016755560416537918,0.0006935952175445452,-5.94065597038171e-05,0.007444029379764747,19.999910322965235,1.2586234464974169,19.984837397504524,6.951978833737311,5.713332039551653,40.771923974658215,18.994664888296096,15.143381127042346,5.497420950883579,9.728033880387088,19.999306404782466,7.000593707986605,0.20073754438035932,5.279759441495557,8.686826060748535,2.1445830532244163,11.551727470968265,2.507675153366094,0.1701098996253262,0.2500188236123364,0.13674271341686034,lateral_tuned,altitude_heading_step,85.07733723237482
final_tuned_altitude_heading_step,25.0,100.0,20.0,0.0,20.0,70.0,120.0,25.0,20.0,1641.26527865988,487.95284763877754,119.93805318875596,24.990010450807272,19.999330099560922,0.0002917300736062411,5.086648417858975,0.061946811244041555,0.009989549192727765,0.0006699004390743224,-5.726491993022824e-05,0.003475372696587493,19.99985581860919,1.7192715358633315,19.984834039432677,6.951977335048813,7.422317224391481,33.76958986328776,20.65188396132044,14.933311103701232,5.521587142071116,11.166005118709297,19.999330099560922,7.655314723064004,0.19782651480117078,5.2779969134304965,12.087545113294498,2.1437529359527816,14.425445471849384,2.5077822474898688,0.17271762346803218,0.26568807861731875,0.1367427134158055,final_tuned,altitude_heading_step,89.54330428949069
aggressive_longitudinal_altitude_heading_step,25.0,100.0,20.0,0.0,20.0,70.0,120.0,25.0,20.0,1636.92378038104,487.80470469920886,119.97020294903544,24.993132893810614,19.999351825154047,0.0002822328110084793,5.078682707635292,0.029797050964560867,0.0068671061893859076,0.0006481748459479208,-5.537161492670699e-05,0.002028654567163702,19.99979631365916,2.156097142914831,19.984830184112074,6.951975063681345,9.130386128568453,29.68489496498833,21.515505168389463,14.723241080360118,5.543670391235361,12.551445960447758,19.999351825154047,8.23889209238404,0.19498742339103675,5.2762146449716845,15.147550627687867,2.1428992743238893,17.43794152009384,2.507884943210267,0.17534084519012538,0.27688902771703294,0.1367427134113283,aggressive_longitudinal,altitude_heading_step,94.10571164641425
original_baseline_altitude_heading_step,25.0,100.0,20.0,0.0,20.0,70.0,120.0,25.0,20.0,1643.7348860744642,521.1664834091351,119.5655804145303,24.975203353277347,19.99999993948245,2.405380874519469e-08,5.1433483894455385,0.4344195854696977,0.024796646722652582,6.051755892389166e-08,2.436023839391864e-08,0.010821441407600855,19.999936899345812,0.7828084208957229,19.91771681255639,15.710959459855566,3.9993527892493144,51.11203734578193,14.419806602200733,7.510836945648549,12.036832919204867,8.235421141831988,19.999999949207307,6.613925703151759,2.0836510511374176,33.79836663094244,7.11938580911526,18.740558997602953,10.096533055162071,18.74804049990212,4.593370692911842,0.23067972393505565,0.1367427134154945,original_baseline,altitude_heading_step,98.98930465041049
lateral_tuned_large_combined_step,25.0,100.0,40.0,3.0,35.0,90.0,140.0,28.0,35.0,2051.6871103326334,1214.8896781174951,151.01331440559508,27.729947896345404,34.9997888755711,8.762584882740896e-05,3.276572132605351,-11.013314405595082,0.27005210365459575,0.00021112442889154338,-1.3732298715368787e-05,-1.364600901956685,39.99992930825549,3.769876005858336,34.9880143803352,12.211603011933938,9.98833989279068,,38.09436478826276,19.278092697565857,9.811847230919893,14.39767068479984,34.9997888755711,8.23362217586425,0.3415504931143876,9.257103897421647,15.23431216208563,3.761776976019407,15.7302438332268,5.834481740883415,0.2963637646438925,0.4760315539548191,0.13674271341686034,lateral_tuned,large_combined_step,160.7271602150951
final_tuned_large_combined_step,25.0,100.0,40.0,3.0,35.0,90.0,140.0,28.0,35.0,2038.642929784339,1212.8783911313026,147.63706446659126,27.684589179289176,34.999807396485316,7.998353078796086e-05,3.29876307960241,-7.637064466591255,0.3154108207108237,0.00019260351467397535,-1.25723006520695e-05,-1.0759248312301515,39.99989873107346,4.749823634052639,34.988013269507654,12.211603630361665,11.982628908151495,,38.09436478826276,18.707902634211404,9.886802066057195,16.334518516479754,34.999807396485316,9.059900163213154,0.33565993236210134,9.253442868493314,19.554075153326345,3.7593072879430713,20.045854582646186,5.8348100451742315,0.29617843765487795,0.4929794859815168,0.13674271341586652,final_tuned,large_combined_step,170.72758166259558
aggressive_longitudinal_large_combined_step,25.0,100.0,40.0,3.0,35.0,90.0,140.0,28.0,35.0,2025.9346105441125,1210.5371918607145,145.80447270804513,27.643014180982266,34.999826046134295,7.228540771438552e-05,3.3216072794163862,-5.804472708045125,0.3569858190177335,0.00017395386569912002,-1.1401554719693512e-05,-0.9151281870704334,39.99987309981998,5.6676965217309885,34.988012099215894,12.211603517766028,13.977874329793291,,39.17472490830277,18.13771257085695,9.961609231452147,18.197738303046126,34.999826046134295,9.759731357717643,0.33026952391584596,9.250155768845772,23.214262943096003,3.7570512244190137,24.529096218799786,5.8350269053113735,0.300768558638649,0.5051429873400832,0.13674271341131583,aggressive_longitudinal,large_combined_step,180.34627627870293
original_baseline_large_combined_step,25.0,100.0,40.0,3.0,35.0,90.0,140.0,28.0,35.0,2041.2967212682433,1277.5772371187948,155.9395512843194,27.786138706964067,34.99999999134113,-3.003561397328097e-08,3.259984372593226,-15.939551284319407,0.21386129303593293,8.658869287003536e-09,3.69627094028838e-08,-1.3893725282218292,39.99993984654232,2.98456542730613,34.964878037643125,27.874006800396348,8.012024370344903,,36.80393464488163,9.584861620540181,20.74429754475797,11.861769119138796,35.00000000587823,8.13433163600786,3.547735350783752,57.49188934951557,14.965810671447768,32.4077190672846,13.984309673435234,25.0,7.935417829685999,0.4948905647043045,0.13674271341549704,original_baseline,large_combined_step,182.1865910086813
